model,series,h,band,nominal,picp,winkler,n
garch_t,wti_fut,1,native80,0.8,0.736,17.061,106
garch_t,wti_fut,1,splitCP80,0.8,0.443,20.453,106
garch_t,wti_fut,1,ACI80,0.8,0.783,17.869,106
garch_t,wti_fut,1,SPCI80,0.8,0.679,17.736,106
garch_t,wti_fut,1,splitCP90,0.9,0.642,28.906,106
garch_t,wti_fut,1,ACI90,0.9,0.877,25.674,106
garch_t,wti_fut,1,SPCI90,0.9,0.726,26.626,106
garch_t,wti_fut,1,CQR80,0.8,0.745,17.1,106
qr_ar,wti_fut,1,native80,0.8,0.5,19.227,106
qr_ar,wti_fut,1,splitCP80,0.8,0.425,20.555,106
qr_ar,wti_fut,1,ACI80,0.8,0.774,18.07,106
qr_ar,wti_fut,1,SPCI80,0.8,0.689,18.113,106
qr_ar,wti_fut,1,splitCP90,0.9,0.66,28.862,106
qr_ar,wti_fut,1,ACI90,0.9,0.877,25.396,106
qr_ar,wti_fut,1,SPCI90,0.9,0.726,28.221,106
qr_ar,wti_fut,1,CQR80,0.8,0.538,19.082,106
chronos_bolt_small,wti_fut,1,native80,0.8,0.745,17.815,106
chronos_bolt_small,wti_fut,1,splitCP80,0.8,0.443,21.935,106
chronos_bolt_small,wti_fut,1,ACI80,0.8,0.774,19.773,106
chronos_bolt_small,wti_fut,1,SPCI80,0.8,0.708,19.466,106
chronos_bolt_small,wti_fut,1,splitCP90,0.9,0.651,30.454,106
chronos_bolt_small,wti_fut,1,ACI90,0.9,0.887,27.15,106
chronos_bolt_small,wti_fut,1,SPCI90,0.9,0.783,29.052,106
chronos_bolt_small,wti_fut,1,CQR80,0.8,0.774,17.718,106
chronos_bolt_base,wti_fut,1,native80,0.8,0.774,18.219,106
chronos_bolt_base,wti_fut,1,splitCP80,0.8,0.462,22.377,106
chronos_bolt_base,wti_fut,1,ACI80,0.8,0.745,19.668,106
chronos_bolt_base,wti_fut,1,SPCI80,0.8,0.66,19.075,106
chronos_bolt_base,wti_fut,1,splitCP90,0.9,0.651,31.589,106
chronos_bolt_base,wti_fut,1,ACI90,0.9,0.868,28.848,106
chronos_bolt_base,wti_fut,1,SPCI90,0.9,0.745,28.588,106
chronos_bolt_base,wti_fut,1,CQR80,0.8,0.774,18.237,106
chronos_2,wti_fut,1,native80,0.8,0.736,17.58,106
chronos_2,wti_fut,1,splitCP80,0.8,0.425,22.1,106
chronos_2,wti_fut,1,ACI80,0.8,0.755,19.381,106
chronos_2,wti_fut,1,SPCI80,0.8,0.651,19.822,106
chronos_2,wti_fut,1,splitCP90,0.9,0.66,31.275,106
chronos_2,wti_fut,1,ACI90,0.9,0.896,26.714,106
chronos_2,wti_fut,1,SPCI90,0.9,0.698,29.686,106
chronos_2,wti_fut,1,CQR80,0.8,0.736,17.596,106
chronos_2_lora,wti_fut,1,native80,0.8,0.736,17.689,106
chronos_2_lora,wti_fut,1,splitCP80,0.8,0.434,22.164,106
chronos_2_lora,wti_fut,1,ACI80,0.8,0.755,19.52,106
chronos_2_lora,wti_fut,1,SPCI80,0.8,0.651,19.396,106
chronos_2_lora,wti_fut,1,splitCP90,0.9,0.642,31.308,106
chronos_2_lora,wti_fut,1,ACI90,0.9,0.887,26.569,106
chronos_2_lora,wti_fut,1,SPCI90,0.9,0.717,29.241,106
chronos_2_lora,wti_fut,1,CQR80,0.8,0.726,17.743,106
chronos_2_full,wti_fut,1,native80,0.8,0.689,17.614,106
chronos_2_full,wti_fut,1,splitCP80,0.8,0.453,22.197,106
chronos_2_full,wti_fut,1,ACI80,0.8,0.736,19.586,106
chronos_2_full,wti_fut,1,SPCI80,0.8,0.623,19.133,106
chronos_2_full,wti_fut,1,splitCP90,0.9,0.66,31.783,106
chronos_2_full,wti_fut,1,ACI90,0.9,0.858,27.981,106
chronos_2_full,wti_fut,1,SPCI90,0.9,0.708,27.814,106
chronos_2_full,wti_fut,1,CQR80,0.8,0.726,17.309,106
timesfm_25,wti_fut,1,native80,0.8,0.755,16.468,106
timesfm_25,wti_fut,1,splitCP80,0.8,0.462,21.894,106
timesfm_25,wti_fut,1,ACI80,0.8,0.774,18.938,106
timesfm_25,wti_fut,1,SPCI80,0.8,0.613,18.809,106
timesfm_25,wti_fut,1,splitCP90,0.9,0.67,30.561,106
timesfm_25,wti_fut,1,ACI90,0.9,0.887,24.291,106
timesfm_25,wti_fut,1,SPCI90,0.9,0.67,28.361,106
timesfm_25,wti_fut,1,CQR80,0.8,0.717,16.841,106
moirai2_small,wti_fut,1,native80,0.8,0.736,17.577,106
moirai2_small,wti_fut,1,splitCP80,0.8,0.434,21.883,106
moirai2_small,wti_fut,1,ACI80,0.8,0.755,19.0,106
moirai2_small,wti_fut,1,SPCI80,0.8,0.726,19.121,106
moirai2_small,wti_fut,1,splitCP90,0.9,0.66,30.048,106
moirai2_small,wti_fut,1,ACI90,0.9,0.896,26.457,106
moirai2_small,wti_fut,1,SPCI90,0.9,0.726,28.504,106
moirai2_small,wti_fut,1,CQR80,0.8,0.755,17.548,106
garch_t,wti_fut,5,native80,0.8,0.623,34.264,106
garch_t,wti_fut,5,splitCP80,0.8,0.425,43.915,106
garch_t,wti_fut,5,ACI80,0.8,0.717,39.545,106
garch_t,wti_fut,5,SPCI80,0.8,0.547,39.174,106
garch_t,wti_fut,5,splitCP90,0.9,0.566,54.852,106
garch_t,wti_fut,5,ACI90,0.9,0.84,48.933,106
garch_t,wti_fut,5,SPCI90,0.9,0.632,53.501,106
garch_t,wti_fut,5,CQR80,0.8,0.613,34.738,106
qr_ar,wti_fut,5,native80,0.8,0.387,44.135,106
qr_ar,wti_fut,5,splitCP80,0.8,0.406,44.852,106
