model,series,h,n,mspe_ratio,rmae,dm_p
ar5_returns,wti_fut,1,106,1.7664,1.4764,1.0
lear_lite,wti_fut,1,106,1.5928,1.27,0.98
garch_t,wti_fut,1,106,1.0,0.996,0.499
qr_ar,wti_fut,1,106,0.9988,1.0106,0.475
chronos_bolt_small,wti_fut,1,106,1.1714,1.0819,0.967
chronos_bolt_base,wti_fut,1,106,1.1918,1.0678,0.996
chronos_2,wti_fut,1,106,1.2153,1.0661,0.871
chronos_2_lora,wti_fut,1,106,1.2246,1.0727,0.88
chronos_2_full,wti_fut,1,106,1.1916,1.0629,0.962
timesfm_25,wti_fut,1,106,1.0596,1.0528,0.892
moirai2_small,wti_fut,1,106,1.1123,1.0473,0.994
ar5_returns,wti_fut,5,106,1.1615,1.079,0.951
lear_lite,wti_fut,5,106,1.2145,1.0957,0.824
garch_t,wti_fut,5,106,0.9986,1.0048,0.483
qr_ar,wti_fut,5,106,1.0131,1.012,0.628
chronos_bolt_small,wti_fut,5,106,1.0971,1.06,0.873
chronos_bolt_base,wti_fut,5,106,1.1559,1.0736,0.972
chronos_2,wti_fut,5,106,1.0387,1.0213,0.727
chronos_2_lora,wti_fut,5,106,1.0382,1.0213,0.764
chronos_2_full,wti_fut,5,106,1.0416,1.016,0.787
timesfm_25,wti_fut,5,106,1.0898,1.0331,0.765
moirai2_small,wti_fut,5,106,1.0499,1.0331,0.91
ar5_returns,wti_fut,22,106,1.0272,1.0046,0.749
lear_lite,wti_fut,22,106,1.1234,1.0862,
garch_t,wti_fut,22,106,1.0039,1.0053,0.51
qr_ar,wti_fut,22,106,1.0057,1.0023,0.54
chronos_bolt_small,wti_fut,22,106,1.0393,1.0045,0.91
chronos_bolt_base,wti_fut,22,106,1.0319,1.0225,0.647
chronos_2,wti_fut,22,106,0.986,0.9812,0.408
chronos_2_lora,wti_fut,22,106,0.9887,0.9821,0.396
chronos_2_full,wti_fut,22,106,0.9995,0.9963,0.482
timesfm_25,wti_fut,22,106,0.9914,0.9878,0.477
moirai2_small,wti_fut,22,106,0.9588,0.9688,0.237
ar5_returns,brent_fut,1,106,0.9882,0.9922,0.146
lear_lite,brent_fut,1,106,0.9782,1.0012,0.3
garch_t,brent_fut,1,106,1.0005,0.9945,0.532
qr_ar,brent_fut,1,106,1.015,1.0119,0.821
chronos_bolt_small,brent_fut,1,106,1.2299,1.0847,0.988
chronos_bolt_base,brent_fut,1,106,1.1184,1.035,0.965
chronos_2,brent_fut,1,106,1.2795,1.0699,0.904
chronos_2_lora,brent_fut,1,106,1.2822,1.0541,0.883
chronos_2_full,brent_fut,1,106,1.2,1.0692,0.978
timesfm_25,brent_fut,1,106,1.077,1.0592,0.976
moirai2_small,brent_fut,1,106,1.1095,1.0495,0.994
ar5_returns,brent_fut,5,106,0.9986,0.9995,0.398
lear_lite,brent_fut,5,106,1.0711,1.0397,0.909
garch_t,brent_fut,5,106,1.002,1.0046,0.524
qr_ar,brent_fut,5,106,1.0533,1.0357,0.884
chronos_bolt_small,brent_fut,5,106,1.1912,1.1139,0.985
chronos_bolt_base,brent_fut,5,106,1.134,1.0647,0.963
chronos_2,brent_fut,5,106,1.084,1.0402,0.897
chronos_2_lora,brent_fut,5,106,1.0861,1.0468,0.933
chronos_2_full,brent_fut,5,106,1.0614,1.0287,0.882
timesfm_25,brent_fut,5,106,1.1197,1.0532,0.85
moirai2_small,brent_fut,5,106,1.072,1.0419,0.984
ar5_returns,brent_fut,22,106,1.0057,1.0037,0.926
lear_lite,brent_fut,22,106,1.0183,1.0095,0.629
garch_t,brent_fut,22,106,1.0182,1.012,0.552
qr_ar,brent_fut,22,106,1.0068,0.9979,0.564
chronos_bolt_small,brent_fut,22,106,1.1029,1.0424,0.993
chronos_bolt_base,brent_fut,22,106,1.0246,1.0204,0.99
chronos_2,brent_fut,22,106,0.9971,0.9977,0.483
chronos_2_lora,brent_fut,22,106,1.0013,0.9997,0.511
chronos_2_full,brent_fut,22,106,1.0012,1.0014,0.564
timesfm_25,brent_fut,22,106,0.9642,0.9699,0.333
moirai2_small,brent_fut,22,106,0.9661,0.9738,0.259
ar5_returns,natgas_fut,1,106,1.0188,1.0088,0.859
lear_lite,natgas_fut,1,106,1.0864,1.025,0.977
garch_t,natgas_fut,1,106,1.0043,0.9967,0.718
qr_ar,natgas_fut,1,106,1.013,0.9977,0.758
chronos_bolt_small,natgas_fut,1,106,1.0575,1.0252,0.849
chronos_bolt_base,natgas_fut,1,106,1.0961,1.0572,0.969
chronos_2,natgas_fut,1,106,1.0254,0.9868,0.722
