model,series,h,hit_rate,expected,n,kupiec_p,christoffersen_ind_p,conditional_coverage_p
garch_t,wti_fut,1,0.0755,0.05,106,0.2615,0.615,0.4691
qr_ar,wti_fut,1,0.1415,0.05,106,0.0004,0.5115,0.0014
chronos_2,wti_fut,1,0.066,0.05,106,0.4693,0.3171,0.4666
chronos_2_lora,wti_fut,1,0.0755,0.05,106,0.2615,0.2504,0.275
chronos_2_full,wti_fut,1,0.0755,0.05,106,0.2615,0.2504,0.275
moirai2_small,wti_fut,1,0.0849,0.05,106,0.132,0.1936,0.1381
garch_t,wti_fut,5,0.0943,0.05,106,0.0606,0.0052,0.0034
qr_ar,wti_fut,5,0.1981,0.05,106,0.0,0.0,0.0
chronos_2,wti_fut,5,0.0566,0.05,106,0.7598,0.001,0.0043
chronos_2_lora,wti_fut,5,0.0566,0.05,106,0.7598,0.001,0.0043
chronos_2_full,wti_fut,5,0.066,0.05,106,0.4693,0.0001,0.0004
moirai2_small,wti_fut,5,0.0755,0.05,106,0.2615,0.0005,0.0012
garch_t,wti_fut,22,0.1415,0.05,106,0.0004,0.0,0.0
qr_ar,wti_fut,22,0.2075,0.05,106,0.0,0.0,0.0
chronos_2,wti_fut,22,0.0755,0.05,106,0.2615,0.0,0.0
chronos_2_lora,wti_fut,22,0.0755,0.05,106,0.2615,0.0,0.0
chronos_2_full,wti_fut,22,0.0849,0.05,106,0.132,0.0,0.0
moirai2_small,wti_fut,22,0.1321,0.05,106,0.0011,0.0,0.0
garch_t,brent_fut,1,0.0849,0.05,106,0.132,0.7838,0.3097
qr_ar,brent_fut,1,0.1604,0.05,106,0.0,0.3892,0.0001
chronos_2,brent_fut,1,0.0755,0.05,106,0.2615,0.2504,0.275
chronos_2_lora,brent_fut,1,0.0755,0.05,106,0.2615,0.2504,0.275
chronos_2_full,brent_fut,1,0.0943,0.05,106,0.0606,0.1464,0.0599
moirai2_small,brent_fut,1,0.0755,0.05,106,0.2615,0.2504,0.275
garch_t,brent_fut,5,0.0943,0.05,106,0.0606,0.0052,0.0034
qr_ar,brent_fut,5,0.2264,0.05,106,0.0,0.0,0.0
chronos_2,brent_fut,5,0.0472,0.05,106,0.8927,0.0106,0.038
chronos_2_lora,brent_fut,5,0.0755,0.05,106,0.2615,0.0005,0.0012
chronos_2_full,brent_fut,5,0.0849,0.05,106,0.132,0.0018,0.0024
moirai2_small,brent_fut,5,0.0849,0.05,106,0.132,0.0018,0.0024
garch_t,brent_fut,22,0.1132,0.05,106,0.0098,0.0,0.0
qr_ar,brent_fut,22,0.2547,0.05,106,0.0,0.0,0.0
chronos_2,brent_fut,22,0.0566,0.05,106,0.7598,0.001,0.0043
chronos_2_lora,brent_fut,22,0.0566,0.05,106,0.7598,0.001,0.0043
chronos_2_full,brent_fut,22,0.1226,0.05,106,0.0035,0.0,0.0
moirai2_small,brent_fut,22,0.1038,0.05,106,0.0254,0.0,0.0
garch_t,natgas_fut,1,0.0094,0.05,106,0.0196,0.8897,0.0651
qr_ar,natgas_fut,1,0.0,0.05,106,0.001,1.0,0.0044
chronos_2,natgas_fut,1,0.0094,0.05,106,0.0196,0.8897,0.0651
chronos_2_lora,natgas_fut,1,0.0094,0.05,106,0.0196,0.8897,0.0651
chronos_2_full,natgas_fut,1,0.0377,0.05,106,0.5455,0.5735,0.7109
moirai2_small,natgas_fut,1,0.0283,0.05,106,0.2659,0.6744,0.4931
garch_t,natgas_fut,5,0.0094,0.05,106,0.0196,0.8897,0.0651
qr_ar,natgas_fut,5,0.0,0.05,106,0.001,1.0,0.0044
chronos_2,natgas_fut,5,0.0283,0.05,106,0.2659,0.0005,0.0012
