model,series,h,crps_ALL,n_valid_quantiles,crps_calm,crps_covid,crps_ukraine
garch_t,wti_fut,1,0.8701,3,0.6493,3.997,1.9256
garch_t,wti_fut,5,4.7159,3,1.4364,67.0249,4.0659
garch_t,wti_fut,22,219.2507,3,3.067,4490.5854,7.4976
garch_t,brent_fut,1,0.7167,3,0.6503,0.8088,1.9095
garch_t,brent_fut,5,1.6275,3,1.4481,2.4952,4.2116
garch_t,brent_fut,22,3.4615,3,3.1014,6.4486,7.3647
garch_t,natgas_fut,1,0.0661,3,0.0615,0.0379,0.1833
garch_t,natgas_fut,5,0.145,3,0.1356,0.0775,0.3983
garch_t,natgas_fut,22,0.2838,3,0.2607,0.1355,0.884
garch_t,gold_fut,1,9.3471,3,9.1144,13.9201,9.1427
garch_t,gold_fut,5,20.7495,3,20.0955,34.091,19.6712
garch_t,gold_fut,22,39.8249,3,38.8644,51.5031,46.3992
garch_t,silver_fut,1,0.2508,3,0.2487,0.3339,0.2066
garch_t,silver_fut,5,0.551,3,0.5408,0.8165,0.4744
garch_t,silver_fut,22,1.0801,3,1.026,2.0413,1.1392
garch_t,copper_fut,1,0.0257,3,0.0254,0.0194,0.0365
garch_t,copper_fut,5,0.0562,3,0.0555,0.0422,0.0858
garch_t,copper_fut,22,0.1145,3,0.1085,0.1166,0.2292
garch_t,platinum_fut,1,9.4602,3,9.27,12.9784,9.5172
garch_t,platinum_fut,5,20.6884,3,19.9477,33.0331,22.3107
garch_t,platinum_fut,22,41.0029,3,39.7533,68.0405,37.3406
garch_t,corn_fut,1,3.4292,3,3.2389,2.3698,8.2067
garch_t,corn_fut,5,7.8249,3,7.3626,5.839,18.8199
garch_t,corn_fut,22,17.1965,3,15.9172,11.7433,47.5817
garch_t,wheat_fut,1,5.6922,3,5.0191,4.3395,20.1262
garch_t,wheat_fut,5,12.736,3,10.9763,9.5944,50.0663
garch_t,wheat_fut,22,25.2464,3,21.0694,15.8205,115.8862
garch_t,soybean_fut,1,6.9515,3,6.5828,4.0555,17.0793
garch_t,soybean_fut,5,15.7248,3,14.9377,10.2358,36.6324
garch_t,soybean_fut,22,33.6281,3,33.6973,14.897,51.5911
qr_ar,wti_fut,1,0.7655,3,0.6574,1.6277,1.972
qr_ar,wti_fut,5,1.6574,3,1.4258,3.5554,4.1891
qr_ar,wti_fut,22,4.2576,3,2.9534,25.8491,7.2836
qr_ar,brent_fut,1,0.7342,3,0.658,0.9126,2.0292
qr_ar,brent_fut,5,1.6312,3,1.4338,2.6758,4.383
qr_ar,brent_fut,22,3.3213,3,2.9559,6.4956,7.1346
qr_ar,natgas_fut,1,0.0678,3,0.0633,0.0386,0.1861
qr_ar,natgas_fut,5,0.1481,3,0.1378,0.0801,0.4182
qr_ar,natgas_fut,22,0.2955,3,0.2692,0.1405,0.9666
qr_ar,gold_fut,1,9.5762,3,9.3507,14.1329,9.2509
qr_ar,gold_fut,5,20.9308,3,20.2424,34.9615,19.8099
qr_ar,gold_fut,22,40.7876,3,40.0578,51.143,44.2558
qr_ar,silver_fut,1,0.2633,3,0.2612,0.3574,0.2074
qr_ar,silver_fut,5,0.5748,3,0.5642,0.8604,0.4858
qr_ar,silver_fut,22,1.1067,3,1.0445,2.2795,1.1036
qr_ar,copper_fut,1,0.0257,3,0.0254,0.0195,0.0375
qr_ar,copper_fut,5,0.0564,3,0.0554,0.0418,0.0908
qr_ar,copper_fut,22,0.1155,3,0.1085,0.1228,0.2429
qr_ar,platinum_fut,1,9.7084,3,9.4643,14.3094,9.6941
qr_ar,platinum_fut,5,21.0958,3,20.3743,33.2511,22.5434
qr_ar,platinum_fut,22,41.9372,3,40.5572,72.9646,36.6893
qr_ar,corn_fut,1,3.4857,3,3.296,2.368,8.3093
qr_ar,corn_fut,5,7.9736,3,7.5406,5.7613,18.6367
qr_ar,corn_fut,22,17.637,3,16.4073,11.3276,47.9462
qr_ar,wheat_fut,1,5.7588,3,5.0432,4.4217,20.9991
qr_ar,wheat_fut,5,12.883,3,11.0333,9.4883,52.2168
qr_ar,wheat_fut,22,25.3275,3,21.0869,15.9781,117.1201
qr_ar,soybean_fut,1,7.0611,3,6.6411,4.137,18.213
qr_ar,soybean_fut,5,15.7972,3,14.9725,9.8513,37.9028
qr_ar,soybean_fut,22,33.7821,3,33.8191,16.1253,51.2598
chronos_bolt_small,wti_fut,1,0.8231,3,0.7214,1.5932,2.0003
chronos_bolt_small,wti_fut,5,1.6687,3,1.4684,2.9388,4.242
chronos_bolt_small,wti_fut,22,3.4525,3,3.0589,6.7989,7.6336
chronos_bolt_small,brent_fut,1,0.8065,3,0.7328,1.0482,1.9869
chronos_bolt_small,brent_fut,5,1.6665,3,1.4917,2.4695,4.2287
chronos_bolt_small,brent_fut,22,3.4432,3,3.0869,6.3801,7.3252
chronos_bolt_small,natgas_fut,1,0.0714,3,0.0672,0.0427,0.1826
chronos_bolt_small,natgas_fut,5,0.1501,3,0.1413,0.0828,0.3909
chronos_bolt_small,natgas_fut,22,0.3121,3,0.2873,0.1504,0.9583
chronos_bolt_small,gold_fut,1,10.1518,3,9.9974,13.9854,9.1939
chronos_bolt_small,gold_fut,5,20.7047,3,20.1903,31.9279,19.1051
chronos_bolt_small,gold_fut,22,42.3208,3,41.9647,49.4902,41.8322
chronos_bolt_small,silver_fut,1,0.2589,3,0.2575,0.3154,0.2281
chronos_bolt_small,silver_fut,5,0.5605,3,0.5516,0.806,0.4787
chronos_bolt_small,silver_fut,22,1.1258,3,1.0732,2.18,1.0588
chronos_bolt_small,copper_fut,1,0.0271,3,0.0265,0.0192,0.0455
chronos_bolt_small,copper_fut,5,0.0575,3,0.0562,0.0416,0.1009
chronos_bolt_small,copper_fut,22,0.1168,3,0.1096,0.1088,0.2638
chronos_bolt_small,platinum_fut,1,10.0172,3,9.7455,14.8402,10.3081
chronos_bolt_small,platinum_fut,5,21.7801,3,20.9672,34.9023,24.0007
chronos_bolt_small,platinum_fut,22,46.0201,3,44.2777,81.0668,43.6473
chronos_bolt_small,corn_fut,1,3.7534,3,3.5418,2.7455,8.8889
chronos_bolt_small,corn_fut,5,8.1673,3,7.7172,6.3791,18.7251
chronos_bolt_small,corn_fut,22,18.516,3,17.2027,14.5992,47.9759
chronos_bolt_small,wheat_fut,1,6.0391,3,5.3939,4.7321,19.8848
chronos_bolt_small,wheat_fut,5,13.146,3,11.4237,10.8071,48.924
chronos_bolt_small,wheat_fut,22,25.7886,3,22.0068,19.911,105.1142
chronos_bolt_small,soybean_fut,1,7.6086,3,7.2402,4.2263,18.2312
chronos_bolt_small,soybean_fut,5,16.2284,3,15.5354,10.3938,35.6674
chronos_bolt_small,soybean_fut,22,35.5928,3,35.6943,15.8744,53.9477
chronos_bolt_base,wti_fut,1,0.8276,3,0.7283,1.6082,1.9466
chronos_bolt_base,wti_fut,5,1.7018,3,1.5065,2.9106,4.2411
chronos_bolt_base,wti_fut,22,3.6718,3,3.2689,7.2707,7.7722
chronos_bolt_base,brent_fut,1,0.7898,3,0.7249,0.8762,1.9594
chronos_bolt_base,brent_fut,5,1.6742,3,1.5017,2.4381,4.2319
chronos_bolt_base,brent_fut,22,3.58,3,3.2474,6.3929,7.1297
chronos_bolt_base,natgas_fut,1,0.0713,3,0.0674,0.0402,0.1787
chronos_bolt_base,natgas_fut,5,0.1518,3,0.1424,0.0818,0.4057
chronos_bolt_base,natgas_fut,22,0.3155,3,0.2921,0.1594,0.9298
chronos_bolt_base,gold_fut,1,10.2331,3,10.0765,13.9284,9.4584
chronos_bolt_base,gold_fut,5,20.8088,3,20.3206,31.2277,19.5315
chronos_bolt_base,gold_fut,22,40.9841,3,40.1897,52.2553,44.7594
chronos_bolt_base,silver_fut,1,0.266,3,0.2644,0.335,0.2251
chronos_bolt_base,silver_fut,5,0.5812,3,0.5722,0.8673,0.4608
chronos_bolt_base,silver_fut,22,1.1589,3,1.0994,2.4431,0.9879
chronos_bolt_base,copper_fut,1,0.027,3,0.0269,0.0198,0.0379
chronos_bolt_base,copper_fut,5,0.0581,3,0.0572,0.0431,0.0912
chronos_bolt_base,copper_fut,22,0.1215,3,0.1142,0.122,0.2619
chronos_bolt_base,platinum_fut,1,10.044,3,9.8365,13.6836,10.3114
chronos_bolt_base,platinum_fut,5,21.5849,3,20.8837,32.7919,23.6146
chronos_bolt_base,platinum_fut,22,45.0196,3,43.4801,76.7426,42.1422
chronos_bolt_base,corn_fut,1,3.7582,3,3.5325,2.766,9.1509
chronos_bolt_base,corn_fut,5,8.2901,3,7.7504,6.3138,20.7745
chronos_bolt_base,corn_fut,22,19.0439,3,17.526,12.4569,55.2153
chronos_bolt_base,wheat_fut,1,5.9363,3,5.3144,4.8814,19.0713
chronos_bolt_base,wheat_fut,5,13.1023,3,11.3463,10.9835,49.3055
chronos_bolt_base,wheat_fut,22,26.7542,3,23.1072,22.5496,101.7448
chronos_bolt_base,soybean_fut,1,7.6174,3,7.2512,4.3424,18.0867
chronos_bolt_base,soybean_fut,5,16.3285,3,15.6632,10.468,35.2561
chronos_bolt_base,soybean_fut,22,37.0001,3,37.4651,18.0431,47.527
chronos_2,wti_fut,1,0.775,3,0.6674,1.6459,1.9616
chronos_2,wti_fut,5,1.6172,3,1.4215,2.8192,4.1706
chronos_2,wti_fut,22,3.3608,3,2.9571,6.9085,7.5284
chronos_2,brent_fut,1,0.7419,3,0.6688,0.939,1.9549
chronos_2,brent_fut,5,1.6083,3,1.4321,2.1883,4.4267
chronos_2,brent_fut,22,3.3412,3,2.991,5.7002,7.7006
chronos_2,natgas_fut,1,0.0665,3,0.0623,0.0385,0.1761
chronos_2,natgas_fut,5,0.144,3,0.1347,0.0803,0.3882
chronos_2,natgas_fut,22,0.2836,3,0.2624,0.1365,0.846
chronos_2,gold_fut,1,9.77,3,9.5923,13.7894,9.071
chronos_2,gold_fut,5,20.7611,3,20.2307,32.416,19.0272
chronos_2,gold_fut,22,41.4837,3,41.0494,48.3296,42.8425
chronos_2,silver_fut,1,0.2576,3,0.2561,0.331,0.2118
chronos_2,silver_fut,5,0.5734,3,0.5642,0.8459,0.4702
chronos_2,silver_fut,22,1.1379,3,1.0896,2.1151,1.0672
chronos_2,copper_fut,1,0.0263,3,0.0261,0.0207,0.0369
chronos_2,copper_fut,5,0.0573,3,0.0567,0.0446,0.0818
chronos_2,copper_fut,22,0.117,3,0.1114,0.1142,0.2291
chronos_2,platinum_fut,1,9.6621,3,9.4515,13.5447,9.7394
chronos_2,platinum_fut,5,21.1771,3,20.5031,32.9738,22.0738
chronos_2,platinum_fut,22,42.5321,3,41.4063,67.6886,38.4097
chronos_2,corn_fut,1,3.5929,3,3.39,2.5244,8.6216
chronos_2,corn_fut,5,7.9691,3,7.5249,6.1163,18.4768
chronos_2,corn_fut,22,17.8234,3,16.5942,13.3657,46.213
chronos_2,wheat_fut,1,5.8868,3,5.1801,4.4575,21.0517
chronos_2,wheat_fut,5,12.9961,3,11.1476,9.7906,52.1127
chronos_2,wheat_fut,22,25.3185,3,21.2781,16.3333,112.8578
chronos_2,soybean_fut,1,7.2378,3,6.8976,4.0958,17.067
chronos_2,soybean_fut,5,15.9374,3,15.2292,9.9743,35.8037
chronos_2,soybean_fut,22,34.9649,3,35.0614,14.9694,53.7006
chronos_2_lora,wti_fut,1,0.7766,3,0.6696,1.6571,1.9428
chronos_2_lora,wti_fut,5,1.6163,3,1.4183,2.8341,4.1995
chronos_2_lora,wti_fut,22,3.3559,3,2.9486,6.9336,7.5631
chronos_2_lora,brent_fut,1,0.7426,3,0.6693,0.9557,1.9446
chronos_2_lora,brent_fut,5,1.6063,3,1.4306,2.1992,4.4012
chronos_2_lora,brent_fut,22,3.3372,3,2.9833,5.7102,7.7525
chronos_2_lora,natgas_fut,1,0.0669,3,0.0629,0.0385,0.1746
chronos_2_lora,natgas_fut,5,0.144,3,0.1351,0.079,0.3852
chronos_2_lora,natgas_fut,22,0.2836,3,0.2629,0.1359,0.8367
chronos_2_lora,gold_fut,1,9.6968,3,9.5122,13.5968,9.2547
chronos_2_lora,gold_fut,5,20.5939,3,20.062,31.9632,19.1819
chronos_2_lora,gold_fut,22,40.8227,3,40.3841,46.9686,42.986
chronos_2_lora,silver_fut,1,0.2562,3,0.2547,0.3248,0.2128
chronos_2_lora,silver_fut,5,0.5687,3,0.5594,0.8374,0.471
chronos_2_lora,silver_fut,22,1.1285,3,1.08,2.0942,1.0719
chronos_2_lora,copper_fut,1,0.0262,3,0.026,0.0205,0.0363
chronos_2_lora,copper_fut,5,0.0571,3,0.0564,0.044,0.0831
chronos_2_lora,copper_fut,22,0.1166,3,0.1109,0.1147,0.2303
chronos_2_lora,platinum_fut,1,9.5914,3,9.3727,13.5141,9.7847
chronos_2_lora,platinum_fut,5,21.1691,3,20.4777,33.0252,22.3405
chronos_2_lora,platinum_fut,22,42.2894,3,41.1111,67.9295,38.6865
chronos_2_lora,corn_fut,1,3.5866,3,3.3882,2.4914,8.557
chronos_2_lora,corn_fut,5,7.9645,3,7.5165,6.1457,18.5112
chronos_2_lora,corn_fut,22,17.8222,3,16.5877,13.0965,46.5893
chronos_2_lora,wheat_fut,1,5.8881,3,5.1825,4.5277,20.9601
chronos_2_lora,wheat_fut,5,13.0075,3,11.1448,9.8652,52.3338
chronos_2_lora,wheat_fut,22,25.3664,3,21.2945,16.4681,113.4252
chronos_2_lora,soybean_fut,1,7.2502,3,6.9187,4.1148,16.9045
chronos_2_lora,soybean_fut,5,15.9593,3,15.2195,10.0931,36.3375
chronos_2_lora,soybean_fut,22,34.8694,3,34.9402,15.0373,53.9352
chronos_2_full,wti_fut,1,0.8072,3,0.707,1.5331,2.0024
chronos_2_full,wti_fut,5,1.6346,3,1.4465,2.8546,4.0234
chronos_2_full,wti_fut,22,3.4027,3,2.9957,7.2145,7.3632
chronos_2_full,brent_fut,1,0.7946,3,0.724,0.9968,1.9561
chronos_2_full,brent_fut,5,1.6425,3,1.472,2.3797,4.1884
chronos_2_full,brent_fut,22,3.384,3,3.0467,5.9121,7.318
