model,series,h,regime,n,mspe_ratio,rmae,sr,pt_p,dm_p
ar5_returns,wti_fut,1,ALL,2805,1.2649,1.2188,0.499,0.394,0.997
ar5_returns,wti_fut,1,calm,2539,1.5519,1.2113,0.496,0.528,1.0
ar5_returns,wti_fut,1,covid,135,0.8649,1.1038,0.533,0.121,0.229
ar5_returns,wti_fut,1,ukraine,131,1.834,1.3515,0.511,0.382,1.0
ar5_returns,wti_fut,5,ALL,2805,0.9914,1.0189,0.496,0.749,0.401
ar5_returns,wti_fut,5,calm,2539,1.0426,1.024,0.495,0.786,0.995
ar5_returns,wti_fut,5,covid,135,0.9008,1.0252,0.437,0.907,0.234
ar5_returns,wti_fut,5,ukraine,131,0.9604,0.9789,0.573,0.052,0.159
ar5_returns,wti_fut,22,ALL,2805,1.0033,1.0123,0.494,0.983,0.58
ar5_returns,wti_fut,22,calm,2539,1.0196,1.0118,0.506,0.8,0.967
ar5_returns,wti_fut,22,covid,135,0.9585,1.0183,0.244,1.0,0.228
ar5_returns,wti_fut,22,ukraine,131,1.0019,1.0101,0.519,0.331,0.512
ar5_returns,brent_fut,1,ALL,2806,1.0058,1.0028,0.503,0.279,0.956
ar5_returns,brent_fut,1,calm,2540,1.0037,1.002,0.504,0.235,0.868
ar5_returns,brent_fut,1,covid,135,1.028,0.9995,0.548,0.145,0.907
ar5_returns,brent_fut,1,ukraine,131,1.0055,1.0093,0.435,0.943,0.756
ar5_returns,brent_fut,5,ALL,2806,1.0121,1.0044,0.476,0.986,0.993
ar5_returns,brent_fut,5,calm,2540,1.0061,1.0023,0.483,0.901,0.999
ar5_returns,brent_fut,5,covid,135,1.0009,1.0074,0.4,0.989,0.546
ar5_returns,brent_fut,5,ukraine,131,1.0306,1.0175,0.412,0.975,0.966
ar5_returns,brent_fut,22,ALL,2806,1.0098,1.0055,0.427,1.0,0.989
ar5_returns,brent_fut,22,calm,2540,1.0099,1.0051,0.424,1.0,0.998
ar5_returns,brent_fut,22,covid,135,0.9979,1.0031,0.407,0.713,0.413
ar5_returns,brent_fut,22,ukraine,131,1.0198,1.0109,0.504,0.425,0.873
ar5_returns,natgas_fut,1,ALL,2806,0.9899,0.9971,0.525,0.003,0.095
ar5_returns,natgas_fut,1,calm,2540,0.9885,0.9984,0.525,0.005,0.101
ar5_returns,natgas_fut,1,covid,135,1.0043,1.0015,0.511,0.344,0.64
ar5_returns,natgas_fut,1,ukraine,131,0.9951,0.9874,0.534,0.171,0.365
ar5_returns,natgas_fut,5,ALL,2806,0.9875,1.0004,0.498,0.516,0.137
ar5_returns,natgas_fut,5,calm,2540,0.982,1.0002,0.495,0.656,0.089
ar5_returns,natgas_fut,5,covid,135,0.9914,0.9928,0.563,0.025,0.271
ar5_returns,natgas_fut,5,ukraine,131,1.0089,1.0037,0.481,0.464,0.658
ar5_returns,natgas_fut,22,ALL,2806,0.9998,1.0005,0.49,0.723,0.483
ar5_returns,natgas_fut,22,calm,2540,0.9997,1.0005,0.49,0.933,0.483
ar5_returns,natgas_fut,22,covid,135,1.0117,0.9952,0.526,0.084,0.643
ar5_returns,natgas_fut,22,ukraine,131,0.9996,1.0017,0.458,0.602,0.477
ar5_returns,gold_fut,1,ALL,2804,0.9964,0.997,0.527,0.722,0.136
ar5_returns,gold_fut,1,calm,2538,0.996,0.9971,0.526,0.781,0.132
