series,h,model,gw_stat,gw_p
wti_fut,1,ar5_returns,7.85,0.0197
wti_fut,1,lear_lite,18.32,0.0001
wti_fut,1,garch_t,2.46,0.2919
wti_fut,1,qr_ar,1.89,0.3889
wti_fut,1,chronos_bolt_small,33.16,0.0
wti_fut,1,chronos_bolt_base,23.76,0.0
wti_fut,1,chronos_2,16.81,0.0002
wti_fut,1,chronos_2_lora,16.85,0.0002
wti_fut,1,chronos_2_full,21.43,0.0
wti_fut,1,timesfm_25,4.14,0.1262
wti_fut,1,moirai2_small,12.1,0.0024
wti_fut,5,ar5_returns,2.84,0.242
wti_fut,5,lear_lite,1.7,0.4272
wti_fut,5,garch_t,20.35,0.0
wti_fut,5,qr_ar,-171.63,
wti_fut,5,chronos_bolt_small,18.54,0.0001
wti_fut,5,chronos_bolt_base,8.53,0.014
wti_fut,5,chronos_2,4.65,0.0979
wti_fut,5,chronos_2_lora,4.46,0.1075
wti_fut,5,chronos_2_full,5.46,0.0653
wti_fut,5,timesfm_25,16.05,0.0003
wti_fut,5,moirai2_small,4.92,0.0855
wti_fut,22,ar5_returns,0.23,0.8902
wti_fut,22,lear_lite,2.38,0.3044
wti_fut,22,garch_t,8.15,0.017
wti_fut,22,qr_ar,2.21,0.3314
wti_fut,22,chronos_bolt_small,10.72,0.0047
wti_fut,22,chronos_bolt_base,8.71,0.0128
wti_fut,22,chronos_2,6.66,0.0359
wti_fut,22,chronos_2_lora,5.77,0.0558
wti_fut,22,chronos_2_full,7.39,0.0249
wti_fut,22,timesfm_25,5.51,0.0635
wti_fut,22,moirai2_small,6.9,0.0317
brent_fut,1,ar5_returns,3.21,0.2007
brent_fut,1,lear_lite,10.71,0.0047
brent_fut,1,garch_t,2.43,0.2972
brent_fut,1,qr_ar,9.7,0.0078
brent_fut,1,chronos_bolt_small,117.59,0.0
brent_fut,1,chronos_bolt_base,70.37,0.0
brent_fut,1,chronos_2,7.61,0.0223
brent_fut,1,chronos_2_lora,6.81,0.0332
brent_fut,1,chronos_2_full,51.25,0.0
brent_fut,1,timesfm_25,10.19,0.0061
brent_fut,1,moirai2_small,26.63,0.0
brent_fut,5,ar5_returns,6.23,0.0443
