series,h,survivors,n_survivors,eliminated_first3
wti_fut,1,no_change;lear_lite;garch_t;qr_ar;chronos_2_full;timesfm_25,6,chronos_bolt_base;ar5_returns;moirai2_small
wti_fut,5,no_change;ar5_returns;lear_lite;garch_t;qr_ar;chronos_bolt_small;chronos_2;chronos_2_lora;chronos_2_full;timesfm_25;moirai2_small,11,chronos_bolt_base
wti_fut,22,no_change;ar5_returns;lear_lite;garch_t;qr_ar;chronos_bolt_small;chronos_2;chronos_2_lora;chronos_2_full;timesfm_25;moirai2_small,11,chronos_bolt_base
brent_fut,1,no_change;ar5_returns;garch_t;qr_ar;chronos_2;chronos_2_lora,6,chronos_bolt_base;chronos_bolt_small;chronos_2_full
brent_fut,5,no_change;ar5_returns;lear_lite;garch_t;qr_ar;chronos_2;chronos_2_lora;timesfm_25,8,chronos_bolt_small;chronos_bolt_base;moirai2_small
brent_fut,22,no_change;ar5_returns;lear_lite;garch_t;qr_ar;chronos_bolt_small;chronos_2;chronos_2_lora;chronos_2_full;timesfm_25;moirai2_small,11,chronos_bolt_base
natgas_fut,1,no_change;ar5_returns;lear_lite;garch_t;qr_ar;chronos_2;chronos_2_lora;timesfm_25,8,chronos_bolt_base;moirai2_small;chronos_bolt_small
natgas_fut,5,no_change;ar5_returns;garch_t;qr_ar;chronos_bolt_small;chronos_2;chronos_2_lora;chronos_2_full;timesfm_25;moirai2_small,10,chronos_bolt_base;lear_lite
natgas_fut,22,no_change;ar5_returns;lear_lite;garch_t;qr_ar;chronos_bolt_small;chronos_2;chronos_2_lora;chronos_2_full;timesfm_25;moirai2_small,11,chronos_bolt_base
gold_fut,1,no_change;ar5_returns;lear_lite;garch_t;qr_ar;chronos_bolt_small;chronos_bolt_base;chronos_2;chronos_2_lora;timesfm_25,10,chronos_2_full;moirai2_small
gold_fut,5,ar5_returns;lear_lite;garch_t;qr_ar;chronos_bolt_small;chronos_bolt_base;chronos_2;chronos_2_lora;chronos_2_full;timesfm_25;moirai2_small,11,no_change
gold_fut,22,ar5_returns;lear_lite;garch_t;qr_ar;chronos_bolt_small;chronos_bolt_base;chronos_2_full;timesfm_25;moirai2_small,9,chronos_2;no_change;chronos_2_lora
silver_fut,1,no_change;ar5_returns;lear_lite;garch_t;qr_ar;chronos_bolt_small;chronos_bolt_base;chronos_2;chronos_2_lora;chronos_2_full;timesfm_25;moirai2_small,12,
silver_fut,5,no_change;ar5_returns;lear_lite;garch_t;qr_ar;chronos_bolt_small;chronos_bolt_base;chronos_2;chronos_2_lora;chronos_2_full;timesfm_25;moirai2_small,12,
silver_fut,22,no_change;ar5_returns;garch_t;qr_ar;chronos_bolt_small;chronos_bolt_base;chronos_2;chronos_2_lora;chronos_2_full;timesfm_25;moirai2_small,11,lear_lite
copper_fut,1,no_change;ar5_returns;lear_lite;garch_t;qr_ar;timesfm_25,6,chronos_bolt_base;chronos_bolt_small;chronos_2_full
copper_fut,5,no_change;ar5_returns;lear_lite;garch_t;qr_ar;chronos_bolt_small;chronos_2;chronos_2_lora;chronos_2_full;timesfm_25,10,moirai2_small;chronos_bolt_base
copper_fut,22,no_change;ar5_returns;lear_lite;garch_t;qr_ar;chronos_bolt_small;chronos_bolt_base;chronos_2;chronos_2_lora;chronos_2_full;timesfm_25;moirai2_small,12,
platinum_fut,1,no_change;ar5_returns;lear_lite;garch_t;qr_ar;chronos_bolt_small;chronos_bolt_base;chronos_2;chronos_2_lora;chronos_2_full;timesfm_25;moirai2_small,12,
platinum_fut,5,no_change;ar5_returns;lear_lite;garch_t;qr_ar;chronos_bolt_base;chronos_2;chronos_2_lora;chronos_2_full;timesfm_25;moirai2_small,11,chronos_bolt_small
platinum_fut,22,no_change;ar5_returns;lear_lite;garch_t;qr_ar;chronos_bolt_base;chronos_2;chronos_2_lora;chronos_2_full;timesfm_25;moirai2_small,11,chronos_bolt_small
corn_fut,1,no_change;ar5_returns;lear_lite;garch_t;qr_ar,5,chronos_bolt_small;chronos_bolt_base;chronos_2_full
corn_fut,5,no_change;ar5_returns;lear_lite;garch_t;chronos_2;chronos_2_lora;chronos_2_full;timesfm_25;moirai2_small,9,qr_ar;chronos_bolt_base;chronos_bolt_small
corn_fut,22,no_change;ar5_returns;lear_lite;garch_t;qr_ar;timesfm_25,6,chronos_bolt_base;chronos_bolt_small;moirai2_small
wheat_fut,1,no_change;ar5_returns;garch_t;qr_ar;chronos_2;chronos_2_lora;timesfm_25,7,chronos_bolt_base;moirai2_small;chronos_bolt_small
wheat_fut,5,no_change;ar5_returns;lear_lite;garch_t;qr_ar;chronos_bolt_small;chronos_bolt_base;chronos_2;chronos_2_lora;chronos_2_full;timesfm_25;moirai2_small,12,
wheat_fut,22,no_change;ar5_returns;lear_lite;garch_t;qr_ar;chronos_bolt_small;chronos_bolt_base;chronos_2;chronos_2_lora;chronos_2_full;timesfm_25;moirai2_small,12,
soybean_fut,1,no_change;ar5_returns;lear_lite;garch_t;qr_ar,5,chronos_bolt_base;chronos_2_full;chronos_2_lora
soybean_fut,5,no_change;ar5_returns;lear_lite;garch_t;qr_ar;chronos_2;moirai2_small,7,chronos_2_full;chronos_bolt_base;chronos_bolt_small
soybean_fut,22,no_change;ar5_returns;lear_lite;qr_ar;moirai2_small,5,chronos_bolt_small;chronos_bolt_base;chronos_2_full
