series,h,model,regime,hit_rate,expected,n,kupiec_p,christoffersen_ind_p,conditional_coverage_p
wti_fut,1,garch_t,ALL,0.0642,0.05,2805,0.0009,0.455,0.0032
wti_fut,1,garch_t,covid,0.0963,0.05,135,0.0276,0.1301,0.0281
wti_fut,1,garch_t,ukraine,0.1221,0.05,131,0.0012,0.395,0.0038
wti_fut,1,qr_ar,ALL,0.0635,0.05,2805,0.0017,0.0,0.0
wti_fut,1,qr_ar,covid,0.1778,0.05,135,0.0,0.0,0.0
wti_fut,1,qr_ar,ukraine,0.1374,0.05,131,0.0001,0.227,0.0003
wti_fut,1,chronos_2,ALL,0.0467,0.05,2805,0.418,0.1286,0.227
wti_fut,1,chronos_2,covid,0.0593,0.05,135,0.6311,0.4753,0.6906
wti_fut,1,chronos_2,ukraine,0.0534,0.05,131,0.8583,0.3719,0.6607
wti_fut,1,chronos_2_lora,ALL,0.0549,0.05,2805,0.2406,0.2222,0.2385
wti_fut,1,chronos_2_lora,covid,0.0593,0.05,135,0.6311,0.4753,0.6906
wti_fut,1,chronos_2_lora,ukraine,0.0611,0.05,131,0.5737,0.3055,0.505
wti_fut,1,chronos_2_full,ALL,0.0909,0.05,2805,0.0,0.0016,0.0
wti_fut,1,chronos_2_full,covid,0.1037,0.05,135,0.0118,0.1989,0.0184
wti_fut,1,chronos_2_full,ukraine,0.0611,0.05,131,0.5737,0.3055,0.505
wti_fut,1,moirai2_small,ALL,0.0485,0.05,2805,0.7114,0.5771,0.7994
wti_fut,1,moirai2_small,covid,0.0519,0.05,135,0.9218,0.3504,0.6435
wti_fut,1,moirai2_small,ukraine,0.1221,0.05,131,0.0012,0.395,0.0038
wti_fut,5,garch_t,ALL,0.0688,0.05,2805,0.0,0.0,0.0
wti_fut,5,garch_t,covid,0.1704,0.05,135,0.0,0.0,0.0
wti_fut,5,garch_t,ukraine,0.1145,0.05,131,0.0035,0.0,0.0
wti_fut,5,qr_ar,ALL,0.0624,0.05,2805,0.0037,0.0,0.0
wti_fut,5,qr_ar,covid,0.1926,0.05,135,0.0,0.0,0.0
wti_fut,5,qr_ar,ukraine,0.1298,0.05,131,0.0004,0.0014,0.0
wti_fut,5,chronos_2,ALL,0.0631,0.05,2805,0.0022,0.0,0.0
wti_fut,5,chronos_2,covid,0.1111,0.05,135,0.0047,0.0,0.0
wti_fut,5,chronos_2,ukraine,0.0763,0.05,131,0.1977,0.0,0.0
wti_fut,5,chronos_2_lora,ALL,0.0681,0.05,2805,0.0,0.0,0.0
wti_fut,5,chronos_2_lora,covid,0.1111,0.05,135,0.0047,0.0,0.0
wti_fut,5,chronos_2_lora,ukraine,0.0763,0.05,131,0.1977,0.0,0.0
wti_fut,5,chronos_2_full,ALL,0.0984,0.05,2805,0.0,0.0,0.0
wti_fut,5,chronos_2_full,covid,0.1778,0.05,135,0.0,0.0,0.0
wti_fut,5,chronos_2_full,ukraine,0.0687,0.05,131,0.3514,0.0,0.0001
wti_fut,5,moirai2_small,ALL,0.0581,0.05,2805,0.0544,0.0,0.0
wti_fut,5,moirai2_small,covid,0.0963,0.05,135,0.0276,0.0,0.0
wti_fut,5,moirai2_small,ukraine,0.0992,0.05,131,0.0218,0.0,0.0
wti_fut,22,garch_t,ALL,0.0731,0.05,2805,0.0,0.0,0.0
wti_fut,22,garch_t,covid,0.2148,0.05,135,0.0,0.0,0.0
wti_fut,22,garch_t,ukraine,0.1145,0.05,131,0.0035,0.0,0.0
wti_fut,22,qr_ar,ALL,0.0574,0.05,2805,0.0787,0.0,0.0
wti_fut,22,qr_ar,covid,0.2593,0.05,135,0.0,0.0,0.0
wti_fut,22,qr_ar,ukraine,0.0687,0.05,131,0.3514,0.0,0.0001
