method,window,gamma,h,regime,picp
ACI,250,0.005,1,ALL,0.7999
ACI,250,0.005,1,calm,0.8028500000000001
ACI,250,0.005,1,covid,0.7407
ACI,250,0.005,1,ukraine,0.7786
ACI,250,0.005,5,ALL,0.7995
ACI,250,0.005,5,calm,0.8052
ACI,250,0.005,5,covid,0.7333
ACI,250,0.005,5,ukraine,0.7634
ACI,250,0.005,22,ALL,0.79575
ACI,250,0.005,22,calm,0.80335
ACI,250,0.005,22,covid,0.7481
ACI,250,0.005,22,ukraine,0.73665
ACI,250,0.01,1,ALL,0.7991
ACI,250,0.01,1,calm,0.7996
ACI,250,0.01,1,covid,0.763
ACI,250,0.01,1,ukraine,0.7977000000000001
ACI,250,0.01,5,ALL,0.8
ACI,250,0.01,5,calm,0.8026
ACI,250,0.01,5,covid,0.763
ACI,250,0.01,5,ukraine,0.7786
ACI,250,0.01,22,ALL,0.79595
ACI,250,0.01,22,calm,0.8037
ACI,250,0.01,22,covid,0.7481
ACI,250,0.01,22,ukraine,0.7405
ACI,250,0.02,1,ALL,0.79865
ACI,250,0.02,1,calm,0.7985
ACI,250,0.02,1,covid,0.7704
ACI,250,0.02,1,ukraine,0.8092
ACI,250,0.02,5,ALL,0.7994
ACI,250,0.02,5,calm,0.7982
ACI,250,0.02,5,covid,0.7741
ACI,250,0.02,5,ukraine,0.7939
ACI,250,0.02,22,ALL,0.79695
ACI,250,0.02,22,calm,0.7998
ACI,250,0.02,22,covid,0.7556
ACI,250,0.02,22,ukraine,0.7634
ACI,250,0.05,1,ALL,0.7996
ACI,250,0.05,1,calm,0.799
ACI,250,0.05,1,covid,0.7926
ACI,250,0.05,1,ukraine,0.8092
ACI,250,0.05,5,ALL,0.7992
ACI,250,0.05,5,calm,0.7982
ACI,250,0.05,5,covid,0.7926
ACI,250,0.05,5,ukraine,0.7977000000000001
ACI,250,0.05,22,ALL,0.7971
ACI,250,0.05,22,calm,0.7985
ACI,250,0.05,22,covid,0.7704
ACI,250,0.05,22,ukraine,0.7634
Rolling-SC,50,,1,ALL,0.81965
Rolling-SC,50,,1,calm,0.8215
Rolling-SC,50,,1,covid,0.8
Rolling-SC,50,,1,ukraine,0.813
Rolling-SC,50,,5,ALL,0.80995
Rolling-SC,50,,5,calm,0.8127500000000001
Rolling-SC,50,,5,covid,0.7852
Rolling-SC,50,,5,ukraine,0.7901
Rolling-SC,50,,22,ALL,0.76135
Rolling-SC,50,,22,calm,0.77095
Rolling-SC,50,,22,covid,0.7333
Rolling-SC,50,,22,ukraine,0.6794
Rolling-SC,100,,1,ALL,0.8043
Rolling-SC,100,,1,calm,0.8067
Rolling-SC,100,,1,covid,0.7704
Rolling-SC,100,,1,ukraine,0.771
Rolling-SC,100,,5,ALL,0.7963
Rolling-SC,100,,5,calm,0.8029999999999999
Rolling-SC,100,,5,covid,0.7556
Rolling-SC,100,,5,ukraine,0.7405
Rolling-SC,100,,22,ALL,0.7776000000000001
Rolling-SC,100,,22,calm,0.7883
Rolling-SC,100,,22,covid,0.7111
Rolling-SC,100,,22,ukraine,0.6641
Rolling-SC,250,,1,ALL,0.79435
Rolling-SC,250,,1,calm,0.8018
Rolling-SC,250,,1,covid,0.7333
Rolling-SC,250,,1,ukraine,0.6565
Rolling-SC,250,,5,ALL,0.792
Rolling-SC,250,,5,calm,0.79865
Rolling-SC,250,,5,covid,0.7037
Rolling-SC,250,,5,ukraine,0.6985
Rolling-SC,250,,22,ALL,0.7839
Rolling-SC,250,,22,calm,0.7932
Rolling-SC,250,,22,covid,0.637
Rolling-SC,250,,22,ukraine,0.5992500000000001
Rolling-SC,500,,1,ALL,0.78425
Rolling-SC,500,,1,calm,0.80445
Rolling-SC,500,,1,covid,0.7333
Rolling-SC,500,,1,ukraine,0.5649
Rolling-SC,500,,5,ALL,0.7878000000000001
Rolling-SC,500,,5,calm,0.7990999999999999
Rolling-SC,500,,5,covid,0.7148
Rolling-SC,500,,5,ukraine,0.6183
Rolling-SC,500,,22,ALL,0.7791
Rolling-SC,500,,22,calm,0.79055
Rolling-SC,500,,22,covid,0.5926
Rolling-SC,500,,22,ukraine,0.5725
