model,series,h,sample,n,exceedances,exceedance_rate,expected,ci_lo,ci_hi,kupiec_p
garch_t,wti_fut,1,overlapping,2805,180,0.0642,0.05,0.0557,0.0739,0.0009
garch_t,wti_fut,1,non_overlapping,2805,180,0.0642,0.05,0.0557,0.0739,0.0009
garch_t,wti_fut,5,overlapping,2805,193,0.0688,0.05,0.06,0.0788,0.0
garch_t,wti_fut,5,non_overlapping,561,35,0.0624,0.05,0.0452,0.0855,0.1941
garch_t,wti_fut,22,overlapping,2805,205,0.0731,0.05,0.064,0.0833,0.0
garch_t,wti_fut,22,non_overlapping,128,12,0.0938,0.05,0.0545,0.1568,0.0417
garch_t,brent_fut,1,overlapping,2806,175,0.0624,0.05,0.054,0.072,0.0037
garch_t,brent_fut,1,non_overlapping,2806,175,0.0624,0.05,0.054,0.072,0.0037
garch_t,brent_fut,5,overlapping,2806,214,0.0763,0.05,0.067,0.0867,0.0
garch_t,brent_fut,5,non_overlapping,562,35,0.0623,0.05,0.0451,0.0854,0.1976
garch_t,brent_fut,22,overlapping,2806,231,0.0823,0.05,0.0727,0.093,0.0
garch_t,brent_fut,22,non_overlapping,128,13,0.1016,0.05,0.0603,0.1661,0.0181
garch_t,natgas_fut,1,overlapping,2806,136,0.0485,0.05,0.0412,0.0571,0.7082
garch_t,natgas_fut,1,non_overlapping,2806,136,0.0485,0.05,0.0412,0.0571,0.7082
garch_t,natgas_fut,5,overlapping,2806,132,0.047,0.05,0.0398,0.0555,0.4679
garch_t,natgas_fut,5,non_overlapping,562,28,0.0498,0.05,0.0347,0.071,0.9845
garch_t,natgas_fut,22,overlapping,2806,98,0.0349,0.05,0.0287,0.0424,0.0001
garch_t,natgas_fut,22,non_overlapping,128,9,0.0703,0.05,0.0374,0.1282,0.3191
garch_t,gold_fut,1,overlapping,2804,165,0.0588,0.05,0.0507,0.0681,0.0364
garch_t,gold_fut,1,non_overlapping,2804,165,0.0588,0.05,0.0507,0.0681,0.0364
garch_t,gold_fut,5,overlapping,2804,163,0.0581,0.05,0.05,0.0674,0.0538
garch_t,gold_fut,5,non_overlapping,561,35,0.0624,0.05,0.0452,0.0855,0.1941
garch_t,gold_fut,22,overlapping,2804,115,0.041,0.05,0.0343,0.049,0.0244
garch_t,gold_fut,22,non_overlapping,128,8,0.0625,0.05,0.032,0.1185,0.5315
garch_t,silver_fut,1,overlapping,2804,156,0.0556,0.05,0.0477,0.0647,0.1784
