,nc,ar,y
2023-01-03,1819.699951171875,1819.484756800189,1839.699951171875
2023-01-04,1839.699951171875,1839.7990912530588,1852.800048828125
2023-01-05,1852.800048828125,1852.5445436026962,1834.800048828125
2023-01-06,1834.800048828125,1835.2807586265285,1864.199951171875
2023-01-09,1864.199951171875,1864.0532886836609,1872.699951171875
2023-01-10,1872.699951171875,1872.1900859936754,1871.5999755859373
2023-01-11,1871.5999755859373,1872.202459540038,1874.5999755859373
2023-01-12,1874.5999755859373,1874.4998546886036,1895.5
2023-01-13,1895.5,1895.2812795614523,1918.4000244140625
2023-01-17,1918.4000244140625,1918.1860938822604,1907.199951171875
2023-01-18,1907.199951171875,1907.5754755060773,1904.4000244140625
2023-01-19,1904.4000244140625,1904.743134310636,1922.0999755859373
2023-01-20,1922.0999755859373,1921.6796202873452,1926.4000244140625
2023-01-23,1926.4000244140625,1926.4314291042272,1927.0999755859373
2023-01-24,1927.0999755859373,1927.4520708128955,1933.9000244140625
2023-01-25,1933.9000244140625,1933.8349496196338,1941.199951171875
2023-01-26,1941.199951171875,1941.1639884440117,1929.0999755859373
2023-01-27,1929.0999755859373,1929.4014536735515,1928.5999755859373
2023-01-30,1928.5999755859373,1928.8351836904296,1922.9000244140625
2023-01-31,1922.9000244140625,1922.8668955696712,1929.5
2023-02-01,1929.5,1929.6816929885497,1927.800048828125
2023-02-02,1927.800048828125,1927.8312018924507,1916.300048828125
2023-02-03,1916.300048828125,1916.706170426206,1862.9000244140625
2023-02-06,1862.9000244140625,1863.6337018316567,1866.199951171875
2023-02-07,1866.199951171875,1866.4828033760818,1871.699951171875
2023-02-08,1871.699951171875,1871.1530550670045,1877.4000244140625
2023-02-09,1877.4000244140625,1877.961343369283,1866.199951171875
2023-02-10,1866.199951171875,1866.479663303382,1862.800048828125
2023-02-13,1862.800048828125,1863.074208092754,1851.9000244140625
2023-02-14,1851.9000244140625,1851.9763331627962,1854.0
2023-02-15,1854.0,1854.2179874535896,1834.199951171875
2023-02-16,1834.199951171875,1834.4258036781644,1842.0
2023-02-17,1842.0,1842.2823911133376,1840.4000244140625
2023-02-21,1840.4000244140625,1840.2235595336497,1833.0
2023-02-22,1833.0,1833.4911402937364,1832.0
2023-02-23,1832.0,1832.103873454892,1818.0
2023-02-24,1818.0,1818.2162389758334,1808.800048828125
2023-02-27,1808.800048828125,1809.1763278611984,1817.0
2023-02-28,1817.0,1816.928706293585,1828.9000244140625
2023-03-01,1828.9000244140625,1828.8454133648506,1837.699951171875
2023-03-02,1837.699951171875,1837.8454238315944,1833.5
2023-03-03,1833.5,1833.712417740002,1847.699951171875
2023-03-06,1847.699951171875,1847.710483931963,1847.9000244140625
2023-03-07,1847.9000244140625,1847.8080862930128,1813.9000244140625
2023-03-08,1813.9000244140625,1814.6311613842483,1812.699951171875
2023-03-09,1812.699951171875,1812.9460711502957,1829.300048828125
2023-03-10,1829.300048828125,1828.8087872874567,1862.0
2023-03-13,1862.0,1861.923336516364,1911.699951171875
2023-03-14,1911.699951171875,1911.2750855370075,1906.199951171875
2023-03-15,1906.199951171875,1906.3569860768118,1926.5999755859373
2023-03-16,1926.5999755859373,1926.90151676217,1919.0
2023-03-17,1919.0,1918.5710886281367,1969.800048828125
2023-03-20,1969.800048828125,1969.751598404905,1979.199951171875
2023-03-21,1979.199951171875,1978.625739875275,1938.0
2023-03-22,1938.0,1939.2187572643436,1946.800048828125
2023-03-23,1946.800048828125,1946.740242826587,1993.800048828125
2023-03-24,1993.800048828125,1992.7398519384376,1982.0999755859373
2023-03-27,1982.0999755859373,1982.5463169539269,1952.4000244140625
2023-03-28,1952.4000244140625,1953.4188922731983,1972.4000244140625
2023-03-29,1972.4000244140625,1971.914580151125,1966.0999755859373
2023-03-30,1966.0999755859373,1965.888362137419,1980.300048828125
2023-03-31,1980.300048828125,1980.8318396153184,1969.0
2023-04-03,1969.0,1968.892386144813,1983.9000244140625
2023-04-04,1983.9000244140625,1984.1663840578121,2022.199951171875
2023-04-05,2022.199951171875,2021.532261989159,2020.9000244140625
2023-04-06,2020.9000244140625,2021.0884775098448,2011.9000244140625
2023-04-10,2011.9000244140625,2012.4662411023714,1989.0999755859373
2023-04-11,1989.0999755859373,1989.1436581702324,2004.800048828125
2023-04-12,2004.800048828125,2004.774248525208,2010.9000244140625
2023-04-13,2010.9000244140625,2010.6341191643783,2041.300048828125
2023-04-14,2041.300048828125,2041.4558839308513,2002.199951171875
2023-04-17,2002.199951171875,2002.5182841427927,1994.199951171875
2023-04-18,1994.199951171875,1995.06399344756,2007.4000244140625
2023-04-19,2007.4000244140625,2006.7638781243227,1995.199951171875
2023-04-20,1995.199951171875,1995.5369230186925,2007.5999755859373
2023-04-21,2007.5999755859373,2007.9141701418864,1979.5
2023-04-24,1979.5,1979.6289933194505,1989.0999755859373
2023-04-25,1989.0999755859373,1989.5875773778039,1994.0
2023-04-26,1994.0,1993.5796756988289,1985.699951171875
2023-04-27,1985.699951171875,1986.209890079078,1989.9000244140625
2023-04-28,1989.9000244140625,1990.0588878220865,1990.0999755859373
2023-05-01,1990.0999755859373,1990.0739002361747,1983.4000244140625
2023-05-02,1983.4000244140625,1983.7287822431222,2014.300048828125
2023-05-03,2014.300048828125,2014.1147878032493,2028.5999755859373
2023-05-04,2028.5999755859373,2028.2460740385961,2048.0
2023-05-05,2048.0,2048.242835789835,2017.4000244140625
2023-05-08,2017.4000244140625,2017.702698825225,2026.300048828125
2023-05-09,2026.300048828125,2026.7141798680307,2036.199951171875
2023-05-10,2036.199951171875,2035.6370241230015,2030.5
2023-05-11,2030.5,2030.9380451386246,2014.699951171875
2023-05-12,2014.699951171875,2015.1219594602137,2014.5
2023-05-15,2014.5,2014.6238961054719,2018.0
2023-05-16,2018.0,2017.9440619479622,1988.4000244140625
2023-05-17,1988.4000244140625,1988.965199443459,1980.699951171875
2023-05-18,1980.699951171875,1981.2158867653325,1956.5
2023-05-19,1956.5,1956.6131182425438,1978.699951171875
2023-05-22,1978.699951171875,1978.885282251337,1974.800048828125
2023-05-23,1974.800048828125,1974.5730310827068,1972.4000244140625
2023-05-24,1972.4000244140625,1973.054809421056,1962.800048828125
2023-05-25,1962.800048828125,1962.8919763697704,1943.0999755859373
2023-05-26,1943.0999755859373,1943.5610645513793,1944.0999755859373
2023-05-30,1944.0999755859373,1944.3028841169782,1958.0
2023-05-31,1958.0,1957.8072989287186,1963.9000244140625
2023-06-01,1963.9000244140625,1964.0254615048693,1978.0
2023-06-02,1978.0,1978.1140405585725,1952.4000244140625
2023-06-05,1952.4000244140625,1952.7272548793296,1958.0
2023-06-06,1958.0,1958.4311462112453,1965.5
2023-06-07,1965.5,1965.112598219312,1942.699951171875
2023-06-08,1942.699951171875,1943.3068352089783,1963.5999755859373
2023-06-09,1963.5999755859373,1963.751486927522,1962.199951171875
2023-06-12,1962.199951171875,1961.873932760067,1955.300048828125
2023-06-13,1955.300048828125,1955.9658344456905,1944.5999755859373
2023-06-14,1944.5999755859373,1944.7846931305999,1955.300048828125
2023-06-15,1955.300048828125,1955.3107940809819,1957.800048828125
2023-06-16,1957.800048828125,1957.7313118012162,1958.4000244140625
2023-06-20,1958.4000244140625,1958.7113358529082,1935.5
2023-06-21,1935.5,1935.8639066533228,1933.300048828125
2023-06-22,1933.300048828125,1933.6318032137992,1912.699951171875
2023-06-23,1912.699951171875,1912.822358912801,1919.0999755859373
2023-06-26,1919.0999755859373,1919.4520118536882,1923.699951171875
2023-06-27,1923.699951171875,1923.4952396208741,1914.0
2023-06-28,1914.0,1914.443612552497,1912.300048828125
2023-06-29,1912.300048828125,1912.5539754062474,1909.199951171875
2023-06-30,1909.199951171875,1909.2449591272891,1921.0999755859373
2023-07-03,1921.0999755859373,1921.1688638749235,1921.699951171875
2023-07-05,1921.699951171875,1921.7154136022086,1919.5999755859373
2023-07-06,1919.5999755859373,1919.9330235232444,1908.699951171875
2023-07-07,1908.699951171875,1908.9189538694109,1926.199951171875
2023-07-10,1926.199951171875,1926.185703589754,1925.0
2023-07-11,1925.0,1924.8973976717052,1931.300048828125
2023-07-12,1931.300048828125,1931.6676346782303,1956.199951171875
2023-07-13,1956.199951171875,1955.8465916009056,1959.199951171875
2023-07-14,1959.199951171875,1959.1885035089654,1960.0999755859373
2023-07-17,1960.0999755859373,1960.4655859327584,1952.4000244140625
2023-07-18,1952.4000244140625,1952.4833024131813,1977.199951171875
2023-07-19,1977.199951171875,1977.0746536848358,1977.5
2023-07-20,1977.5,1977.3261379102921,1968.300048828125
2023-07-21,1968.300048828125,1968.8909417778482,1964.300048828125
2023-07-24,1964.300048828125,1964.3806185429842,1960.300048828125
2023-07-25,1960.300048828125,1960.391283662535,1962.0999755859373
2023-07-26,1962.0999755859373,1962.248705308551,1968.9000244140625
2023-07-27,1968.9000244140625,1968.9075072732587,1945.4000244140625
2023-07-28,1945.4000244140625,1945.8085978905415,1960.4000244140625
2023-07-31,1960.4000244140625,1960.5991518748413,1970.5
2023-08-01,1970.5,1970.0506816571751,1940.699951171875
2023-08-02,1940.699951171875,1941.451553697053,1937.4000244140625
2023-08-03,1937.4000244140625,1937.821994712104,1932.0
2023-08-04,1932.0,1931.796338863435,1939.5999755859373
2023-08-07,1939.5999755859373,1939.843265008165,1933.5
2023-08-08,1933.5,1933.6065117770456,1924.0999755859373
2023-08-09,1924.0999755859373,1924.526460358398,1915.4000244140625
2023-08-10,1915.4000244140625,1915.5914890485499,1914.4000244140625
2023-08-11,1914.4000244140625,1914.5458501598291,1912.9000244140625
2023-08-14,1912.9000244140625,1913.0240058228878,1910.5999755859373
