model,h,exceedance (non overlapping),exceedance (overlapping),n (non overlapping),n (overlapping),reject_share (non overlapping),reject_share (overlapping)
chronos_2,1,0.0435,0.0435,2804.0,2804.0,0.4,0.4
chronos_2_full,1,0.0904,0.0904,2804.0,2804.0,0.9,0.9
chronos_2_lora,1,0.0494,0.0494,2804.0,2804.0,0.2,0.2
garch_t,1,0.0551,0.0551,2804.0,2804.0,0.3,0.3
moirai2_small,1,0.0474,0.0474,2804.0,2804.0,0.3,0.3
qr_ar,1,0.0556,0.0556,2804.0,2804.0,0.4,0.4
chronos_2,5,0.057,0.0569,561.0,2804.0,0.0,0.5
chronos_2_full,5,0.0963,0.0965,561.0,2804.0,0.8,1.0
chronos_2_lora,5,0.0632,0.0614,561.0,2804.0,0.1,0.7
garch_t,5,0.0498,0.0518,561.0,2804.0,0.0,0.4
moirai2_small,5,0.0464,0.0478,561.0,2804.0,0.0,0.3
qr_ar,5,0.0499,0.0564,561.0,2804.0,0.1,0.5
chronos_2,22,0.0586,0.0512,128.0,2804.0,0.0,0.6
chronos_2_full,22,0.0938,0.0877,128.0,2804.0,0.6,0.8
chronos_2_lora,22,0.0586,0.0519,128.0,2804.0,0.0,0.6
garch_t,22,0.0547,0.0471,128.0,2804.0,0.2,0.8
moirai2_small,22,0.0547,0.0601,128.0,2804.0,0.1,0.7
qr_ar,22,0.0664,0.0535,128.0,2804.0,0.1,0.4
