Commodity,AR(5),LEAR-lite,GARCH-t,QR-AR,TimesFM 2.5,Moirai-2 (S),Chronos-2,Chronos-2 + LoRA,Chronos-2 + full FT,Chronos-Bolt (S),Chronos-Bolt (B)
Brent crude,1.006,1.027,1.005,1.012,1.036,1.14,1.137,1.14,1.194,1.279,1.202
Copper,0.996,1.004,1.0,1.006,1.01,1.062,1.07,1.073,1.121,1.12,1.103
Corn,1.001,1.005,1.001,1.012,1.03,1.134,1.118,1.105,1.152,1.164,1.166
Gold,0.996,0.999,0.992,0.994,1.031,1.086,1.088,1.072,1.104,1.264,1.384
Natural gas,0.99,1.001,1.001,1.001,0.998,1.058,1.044,1.05,1.054,1.173,1.146
Platinum,0.988,1.024,1.0,0.995,1.032,1.062,1.193,1.166,1.06,1.182,1.137
Silver,1.003,1.025,0.999,1.009,1.028,1.027,1.219,1.186,0.987,1.196,1.123
Soybeans,1.0,1.007,1.001,1.004,1.018,1.107,1.067,1.075,1.206,1.173,1.178
Wheat,1.004,1.005,1.0,1.005,1.04,1.041,1.338,1.3,1.129,1.176,1.095
WTI crude,1.265,2.019,1.003,0.883,0.866,1.069,1.075,1.074,1.022,1.063,1.125
