model,calm,calm,calm,covid,covid,covid,ukraine,ukraine,ukraine
,1,5,22,1,5,22,1,5,22
AR(5),1.002,0.999,1.004,1.002,0.997,0.996,1.005,1.009,1.016
LEAR-lite,1.006,1.008,1.017,1.01,1.01,1.013,1.008,1.008,1.036
GARCH-t,1.001,1.005,1.02,1.0,1.0,1.003,1.003,1.013,1.053
QR-AR,1.004,1.003,1.019,1.007,1.004,1.032,1.007,1.01,1.009
TimesFM 2.5,1.026,1.024,1.051,1.039,1.019,1.028,1.017,0.991,0.973
Moirai-2 (S),1.073,1.024,1.056,1.097,1.036,1.049,1.09,1.05,1.086
Chronos-2,1.086,1.052,1.085,1.109,1.031,0.978,1.052,1.017,1.061
Chronos-2 + LoRA,1.076,1.052,1.068,1.101,1.031,0.979,1.046,1.025,1.077
Chronos-2 + full FT,1.105,1.049,1.045,1.063,1.035,0.987,1.116,1.038,1.098
Chronos-Bolt (S),1.182,1.095,1.162,1.159,1.071,1.064,1.162,1.062,1.107
Chronos-Bolt (B),1.152,1.112,1.254,1.118,1.064,1.125,1.12,1.087,1.079
